Workload,CPU Design,Compute Area (mm^2),Memory Area (mm^2),Total Area (mm^2),Carbon Footprint Min (gCO2e),Carbon Footprint Max (gCO2e)
DT-Small,Serv,2.932416,3.73808,6.670496,0,0.73375456
DT-Small,Qerv,3.683808,3.73808,7.421888,0,0.81640768
DT-Small,Herv,4.495968,3.73808,8.234048,0,0.90574528
DT-Medium,Serv,2.932416,3.9104,6.842816,0,0.75270976
DT-Medium,Qerv,3.683808,3.9104,7.594208,0,0.83536288
DT-Medium,Herv,4.495968,3.9104,8.406368,0,0.92470048
DT-Large,Serv,2.932416,4.424352,7.356768,0,0.80924448
DT-Large,Qerv,3.683808,4.424352,8.10816,0,0.8918976
DT-Large,Herv,4.495968,4.424352,8.92032,0,0.9812352
KNN-Small,Serv,2.932416,25.442344,28.37476,0,3.1212236
KNN-Small,Qerv,3.683808,25.442344,29.126152,0,3.20387672
KNN-Small,Herv,4.495968,25.442344,29.938312,0,3.29321432
KNN-Medium,Serv,2.932416,86.650408,89.582824,0,9.85411064
KNN-Medium,Qerv,3.683808,86.650408,90.334216,0,9.93676376
KNN-Medium,Herv,4.495968,86.650408,91.146376,0,10.02610136
KNN-Large,Serv,2.932416,163.160488,166.092904,0,18.27021944
KNN-Large,Qerv,3.683808,163.160488,166.844296,0,18.35287256
KNN-Large,Herv,4.495968,163.160488,167.656456,0,18.44221016
LR,Serv,2.932416,8.798696,11.731112,0,1.29042232
LR,Qerv,3.683808,8.798696,12.482504,0,1.37307544
LR,Herv,4.495968,8.798696,13.294664,0,1.46241304
MLP,Serv,2.932416,29.176672,32.109088,0,3.53199968
MLP,Qerv,3.683808,29.176672,32.86048,0,3.6146528
MLP,Herv,4.495968,29.176672,33.67264,0,3.7039904