"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,4,4,4,7,300,77,-0.7,1023,-18.8,0,"NNW",4.4,"Aotizhongxin"
2,2013,3,1,1,8,8,4,7,300,77,-1.1,1023.2,-18.2,0,"N",4.7,"Aotizhongxin"
3,2013,3,1,2,7,7,5,10,300,73,-1.1,1023.5,-18.2,0,"NNW",5.6,"Aotizhongxin"
4,2013,3,1,3,6,6,11,11,300,72,-1.4,1024.5,-19.4,0,"NW",3.1,"Aotizhongxin"
5,2013,3,1,4,3,3,12,12,300,72,-2,1025.2,-19.5,0,"N",2,"Aotizhongxin"
6,2013,3,1,5,5,5,18,18,400,66,-2.2,1025.6,-19.6,0,"N",3.7,"Aotizhongxin"
7,2013,3,1,6,3,3,18,32,500,50,-2.6,1026.5,-19.1,0,"NNE",2.5,"Aotizhongxin"
8,2013,3,1,7,3,6,19,41,500,43,-1.6,1027.4,-19.1,0,"NNW",3.8,"Aotizhongxin"
9,2013,3,1,8,3,6,16,43,500,45,0.1,1028.3,-19.2,0,"NNW",4.1,"Aotizhongxin"
10,2013,3,1,9,3,8,12,28,400,59,1.2,1028.5,-19.3,0,"N",2.6,"Aotizhongxin"
11,2013,3,1,10,3,6,9,12,400,72,1.9,1028.2,-19.4,0,"NNW",3.6,"Aotizhongxin"
12,2013,3,1,11,3,6,9,14,400,71,2.9,1028.2,-20.5,0,"N",3.7,"Aotizhongxin"
13,2013,3,1,12,3,6,7,13,300,74,3.9,1027.3,-19.7,0,"NNW",5.1,"Aotizhongxin"
14,2013,3,1,13,3,6,7,12,400,76,5.3,1026.2,-19.3,0,"NW",4.3,"Aotizhongxin"
15,2013,3,1,14,6,9,7,11,400,77,6,1025.9,-19.6,0,"NW",4.4,"Aotizhongxin"
16,2013,3,1,15,8,15,7,14,400,76,6.2,1025.7,-18.6,0,"NNE",2.8,"Aotizhongxin"
17,2013,3,1,16,9,19,9,13,400,76,5.9,1025.6,-18.1,0,"NNW",3.9,"Aotizhongxin"
18,2013,3,1,17,10,23,11,15,400,74,4.3,1026.3,-18.7,0,"NNE",2.8,"Aotizhongxin"
19,2013,3,1,18,11,20,8,20,500,70,3.1,1027.4,-18.4,0,"NNE",2.1,"Aotizhongxin"
20,2013,3,1,19,8,14,12,30,500,60,2.3,1028.3,-18.4,0,"N",2.8,"Aotizhongxin"
21,2013,3,1,20,11,17,13,33,600,55,1.7,1029.1,-17.3,0,"N",2.1,"Aotizhongxin"
22,2013,3,1,21,12,18,16,35,500,50,0.6,1030.1,-16.7,0,"ENE",0.8,"Aotizhongxin"
23,2013,3,1,22,15,19,21,57,700,32,0.9,1030.5,-17.4,0,"ENE",1.8,"Aotizhongxin"
24,2013,3,1,23,24,24,26,54,600,36,-0.2,1030.5,-17.4,0,"ENE",1.4,"Aotizhongxin"
25,2013,3,2,0,22,24,24,44,500,44,-0.4,1031,-17.6,0,"ENE",1.4,"Aotizhongxin"
26,2013,3,2,1,14,17,21,36,400,50,-1,1031.3,-17.3,0,"NNE",1.1,"Aotizhongxin"
27,2013,3,2,2,13,13,20,37,400,47,-1.5,1030.9,-16.9,0,"E",1.7,"Aotizhongxin"
28,2013,3,2,3,3,9,13,34,400,52,-1.4,1030.6,-17.6,0,"NNE",1.4,"Aotizhongxin"
29,2013,3,2,4,3,7,18,43,400,43,-1.5,1030.8,-17.7,0,"NNW",0.9,"Aotizhongxin"
30,2013,3,2,5,9,11,19,70,500,20,-1.8,1030.1,-17.5,0,"NNE",2,"Aotizhongxin"
31,2013,3,2,6,4,10,28,46,500,39,-2.5,1029.6,-17.7,0,"NW",0.7,"Aotizhongxin"
32,2013,3,2,7,3,11,34,58,500,27,-1.7,1029.8,-17,0,"NE",1.2,"Aotizhongxin"
33,2013,3,2,8,3,7,21,49,500,43,-0.4,1029.6,-17.6,0,"NE",1.8,"Aotizhongxin"
34,2013,3,2,9,10,14,47,62,700,29,0.6,1029.7,-16.7,0,"NE",1.7,"Aotizhongxin"
35,2013,3,2,10,11,19,36,60,600,34,1.7,1028.9,-16.3,0,"W",1.6,"Aotizhongxin"
36,2013,3,2,11,18,29,36,70,800,27,2.2,1028.2,-16.8,0,"SSW",3.1,"Aotizhongxin"
37,2013,3,2,12,26,30,25,76,900,22,2.7,1027.3,-16.4,0,"WSW",2.7,"Aotizhongxin"
38,2013,3,2,13,25,33,20,57,700,39,3.3,1025.7,-16.4,0,"W",1.5,"Aotizhongxin"
39,2013,3,2,14,26,35,22,54,700,43,3.8,1024.8,-16,0,"SE",1.3,"Aotizhongxin"
40,2013,3,2,15,37,40,24,55,700,44,3.9,1024.1,-16.5,0,"WNW",1.2,"Aotizhongxin"
41,2013,3,2,16,37,46,29,63,1000,38,3.5,1023.6,-15.2,0,"WSW",2.5,"Aotizhongxin"
42,2013,3,2,17,44,58,45,77,1200,30,2.2,1023.4,-13.6,0,"SSE",0.4,"Aotizhongxin"
43,2013,3,2,18,54,79,50,80,1100,24,1.2,1023.2,-12.3,0,"W",0.9,"Aotizhongxin"
44,2013,3,2,19,61,86,50,97,1300,10,1.5,1022.9,-13.8,0,"NE",1.2,"Aotizhongxin"
45,2013,3,2,20,67,96,54,108,1399,2,1.2,1022.9,-14.1,0,"NNE",1.2,"Aotizhongxin"
46,2013,3,2,21,74,103,72,107,1399,2,0.6,1022.6,-14.2,0,"NE",1.3,"Aotizhongxin"
47,2013,3,2,22,81,113,84,110,1500,3,-0.6,1022.3,-13.9,0,"NNE",1.4,"Aotizhongxin"
48,2013,3,2,23,93,120,87,107,1700,2,-0.8,1021.1,-13.4,0,"N",1.3,"Aotizhongxin"
49,2013,3,3,0,112,130,73,100,1899,2,-1.4,1020.4,-13,0,"NNE",1.2,"Aotizhongxin"
50,2013,3,3,1,109,132,80,101,2200,2,-2,1019.4,-13.2,0,"NE",1.2,"Aotizhongxin"
51,2013,3,3,2,110,132,98,99,2399,2,-2.8,1018.3,-12.3,0,"NE",1.4,"Aotizhongxin"
52,2013,3,3,3,105,129,88,100,2500,2,-2.6,1017.2,-13.2,0,"NE",1.2,"Aotizhongxin"
53,2013,3,3,4,106,136,79,92,2799,2,-4.3,1016.9,-11.8,0,"NNE",0.9,"Aotizhongxin"
54,2013,3,3,5,101,135,64,87,2399,2,-5.6,1016.3,-10.9,0,"N",0.8,"Aotizhongxin"
55,2013,3,3,6,91,142,67,87,2100,2,-5.8,1016.2,-11,0,"NNE",0.8,"Aotizhongxin"
56,2013,3,3,7,79,116,83,91,2000,2,-3.1,1016.5,-11.1,0,"NE",1.5,"Aotizhongxin"
57,2013,3,3,8,77,110,123,90,2299,2,0.7,1016.2,-13,0,"NNE",2.3,"Aotizhongxin"
58,2013,3,3,9,83,119,135,90,2600,3,3.5,1015.8,-13.8,0,"NNE",0.4,"Aotizhongxin"
59,2013,3,3,10,94,122,116,90,1800,9,6.5,1014.9,-13.2,0,"N",1.3,"Aotizhongxin"
60,2013,3,3,11,96,117,89,93,1600,14,11.4,1013.8,-10.8,0,"ESE",0.9,"Aotizhongxin"
61,2013,3,3,12,91,108,77,99,1600,14,13.8,1012.5,-13.3,0,"W",1.1,"Aotizhongxin"
62,2013,3,3,13,98,134,50,81,1200,33,16,1011.5,-13.5,0,"W",5.9,"Aotizhongxin"
63,2013,3,3,14,72,106,31,57,900,51,16.7,1010.8,-14,0,"WNW",4.3,"Aotizhongxin"
64,2013,3,3,15,48,114,14,17,500,77,16.9,1010.5,-12.7,0,"WNW",2,"Aotizhongxin"
65,2013,3,3,16,28,100,12,17,400,77,16.4,1010.6,-15.4,0,"NW",2.9,"Aotizhongxin"
66,2013,3,3,17,26,103,9,19,400,73,13.1,1011.1,-10.1,0,"WSW",1.7,"Aotizhongxin"
67,2013,3,3,18,24,82,8,27,500,66,8.7,1012.3,-11.3,0,"NW",1.6,"Aotizhongxin"
68,2013,3,3,19,19,71,26,98,1300,11,12.2,1013.4,-13.7,0,"NNW",2,"Aotizhongxin"
69,2013,3,3,20,60,175,64,135,2000,4,11.7,1013.5,-12.6,0,"N",0.9,"Aotizhongxin"
70,2013,3,3,21,117,181,28,100,1100,5,5.3,1013.6,-10.9,0,"N",0,"Aotizhongxin"
71,2013,3,3,22,54,105,28,90,1200,2,3.1,1014.1,-10.2,0,"NNE",1.8,"Aotizhongxin"
72,2013,3,3,23,46,94,29,84,1200,2,5.2,1014.8,-10.6,0,"NNW",1.7,"Aotizhongxin"
73,2013,3,4,0,42,83,51,86,1300,4,7.7,1015.7,-11.1,0,"N",2.6,"Aotizhongxin"
74,2013,3,4,1,49,80,39,64,1000,25,8.2,1016.7,-11.7,0,"N",2.8,"Aotizhongxin"
75,2013,3,4,2,34,62,NA,14,300,68,8.1,1016.7,-11.8,0,"N",4.3,"Aotizhongxin"
76,2013,3,4,3,12,34,6,12,NA,77,7.2,1016.9,-11.6,0,"N",2.8,"Aotizhongxin"
77,2013,3,4,4,7,18,14,NA,400,42,6,1018,-11.6,0,"NNW",1,"Aotizhongxin"
78,2013,3,4,5,10,24,18,45,400,40,2.7,1018.6,-10.9,0,"SSE",0.5,"Aotizhongxin"
79,2013,3,4,6,13,32,24,65,500,22,3.8,1018.9,-11.4,0,"N",2.3,"Aotizhongxin"
80,2013,3,4,7,14,36,30,70,600,17,6.5,1019.7,-10.7,0,"N",2.3,"Aotizhongxin"
81,2013,3,4,8,13,35,38,70,700,21,9,1020.7,-12.2,0,"NE",3.1,"Aotizhongxin"
82,2013,3,4,9,15,32,26,36,500,52,10.6,1020.8,-12.1,0,"NNE",1.3,"Aotizhongxin"
83,2013,3,4,10,16,24,22,36,600,57,11.9,1020.4,-12.4,0,"NE",2.1,"Aotizhongxin"
84,2013,3,4,11,18,33,18,27,400,68,13.1,1020,-13,0,"NE",3,"Aotizhongxin"
85,2013,3,4,12,13,28,12,14,400,77,14.2,1018.9,-13.9,0,"N",2.7,"Aotizhongxin"
86,2013,3,4,13,3,12,7,12,300,82,15.3,1017.8,-13,0,"S",2,"Aotizhongxin"
87,2013,3,4,14,3,10,8,13,400,84,15.2,1017,-13.1,0,"SW",0.7,"Aotizhongxin"
88,2013,3,4,15,10,13,9,15,400,84,15.3,1016.3,-13,0,"SSW",2.4,"Aotizhongxin"
89,2013,3,4,16,14,20,10,34,500,70,14.5,1015.7,-13.7,0,"S",2.6,"Aotizhongxin"
90,2013,3,4,17,20,33,14,40,500,78,12.7,1015.9,-11.8,0,"SW",2.6,"Aotizhongxin"
91,2013,3,4,18,25,44,13,43,600,75,11.6,1016.5,-11.3,0,"SSW",3.4,"Aotizhongxin"
92,2013,3,4,19,31,63,17,61,700,53,10.9,1016.6,-10.6,0,"SW",3.5,"Aotizhongxin"
93,2013,3,4,20,34,84,18,76,800,40,9.9,1016.9,-10.3,0,"SSW",3.1,"Aotizhongxin"
94,2013,3,4,21,40,85,40,76,800,39,8.4,1016.9,-10,0,"SSW",2.1,"Aotizhongxin"
95,2013,3,4,22,51,91,46,85,1000,31,8.6,1016.3,-9.9,0,"SSW",2.4,"Aotizhongxin"
96,2013,3,4,23,58,94,46,86,1100,84,7.7,1015.7,-9.3,0,"SW",2.1,"Aotizhongxin"
97,2013,3,5,0,71,108,66,78,1100,84,4.7,1015.2,-9.1,0,"SW",1.6,"Aotizhongxin"
98,2013,3,5,1,91,127,75,75,1200,84,1.1,1014.7,-7.9,0,"SW",0,"Aotizhongxin"
99,2013,3,5,2,100,129,58,79,1200,84,-0.6,1014.4,-8.1,0,"S",0,"Aotizhongxin"
100,2013,3,5,3,103,130,66,83,1399,84,0.2,1014,-8.8,0,"NE",1.2,"Aotizhongxin"
101,2013,3,5,4,115,151,76,92,2299,84,1.8,1013.7,-9.5,0,"NE",1.5,"Aotizhongxin"
102,2013,3,5,5,117,153,91,91,2399,84,0.6,1013.9,-9.4,0,"N",0.8,"Aotizhongxin"
103,2013,3,5,6,104,145,94,89,2200,84,-0.2,1013.4,-8.6,0,"NE",1.3,"Aotizhongxin"
104,2013,3,5,7,106,146,82,87,2299,84,2.9,1013.4,-9.1,0,"NNE",1.3,"Aotizhongxin"
105,2013,3,5,8,111,147,101,87,2399,84,5.1,1013.4,-9.1,0,"NNE",1.2,"Aotizhongxin"
106,2013,3,5,9,114,159,114,92,2899,84,7.7,1012.8,-8.4,0,"NNE",1.5,"Aotizhongxin"
107,2013,3,5,10,131,177,107,104,2700,84,9.4,1012,-8.2,0,"NE",1.5,"Aotizhongxin"
108,2013,3,5,11,138,184,109,115,2299,84,10.6,1011.1,-8.1,0,"NNE",1.4,"Aotizhongxin"
109,2013,3,5,12,142,184,104,136,2299,15,11.9,1009.7,-7.5,0,"NNW",1.3,"Aotizhongxin"
110,2013,3,5,13,163,193,94,147,2200,84,12.6,1008.5,-8,0,"N",1,"Aotizhongxin"
111,2013,3,5,14,168,182,85,158,2100,84,13.5,1007.7,-7.8,0,"NNE",1.4,"Aotizhongxin"
112,2013,3,5,15,165,171,85,172,2200,78,13.8,1007.2,-7.6,0,"NE",1.2,"Aotizhongxin"
113,2013,3,5,16,166,186,97,194,2700,78,13.2,1007.1,-7,0,"NE",2,"Aotizhongxin"
114,2013,3,5,17,190,218,101,204,2799,75,12.1,1007.7,-6.4,0,"NNE",1.6,"Aotizhongxin"
115,2013,3,5,18,203,248,107,197,2500,53,9,1008.2,-5.7,0,"NE",1.4,"Aotizhongxin"
116,2013,3,5,19,210,255,103,188,2200,40,5.3,1008.5,-4.8,0,"ESE",0,"Aotizhongxin"
117,2013,3,5,20,205,244,106,189,2500,39,3.3,1008.7,-4.7,0,"N",0.2,"Aotizhongxin"
118,2013,3,5,21,215,252,93,178,3100,31,2.9,1009,-4.6,0,"NNE",1.2,"Aotizhongxin"
119,2013,3,5,22,219,253,92,169,3200,29,5.2,1008.9,-6.1,0,"NE",1.1,"Aotizhongxin"
120,2013,3,5,23,226,269,147,184,4400,29,4.9,1008.4,-6.1,0,"NE",1.4,"Aotizhongxin"
121,2013,3,6,0,284,315,133,174,4000,28,4.9,1008.5,-6.4,0,"NE",1.2,"Aotizhongxin"
122,2013,3,6,1,272,300,131,166,4000,22,4.8,1008.3,-5.9,0,"NE",1.5,"Aotizhongxin"
123,2013,3,6,2,242,265,109,146,3200,22,4.1,1007.8,-5.9,0,"NE",1.9,"Aotizhongxin"
124,2013,3,6,3,212,229,90,141,2600,22,4,1007.6,-6.3,0,"NE",1.9,"Aotizhongxin"
125,2013,3,6,4,192,203,83.6808,140.4252,NA,22,3.9,1007.3,-6.1,0,"NE",1.4,"Aotizhongxin"
126,2013,3,6,5,188,194,92,143,2500,22,4.1,1007.8,-5.7,0,"NE",1.6,"Aotizhongxin"
127,2013,3,6,6,186,194,94,131,2600,22,4.5,1008.4,-5.3,0,"NE",2,"Aotizhongxin"
128,2013,3,6,7,188,196,92,129,2700,22,5.7,1009.3,-5,0,"NE",1.7,"Aotizhongxin"
129,2013,3,6,8,194,205,102,113,2500,22,6.6,1009.3,-4.8,0,"NE",1.7,"Aotizhongxin"
130,2013,3,6,9,184,198,98,102,2399,22,7.5,1009.1,-4.6,0,"NE",1.7,"Aotizhongxin"
131,2013,3,6,10,175,198,107,103,2600,22,8.7,1008.6,-4.5,0,"NE",1.5,"Aotizhongxin"
132,2013,3,6,11,179,212,119,105,2399,22,10.1,1007.7,-4.7,0,"NE",1.4,"Aotizhongxin"
133,2013,3,6,12,192,219,124,113,2299,22,11.1,1006.9,-4.2,0,"ENE",0.4,"Aotizhongxin"
134,2013,3,6,13,201,233,126,136,2700,22,12.6,1005.8,-3.7,0,"WSW",1.5,"Aotizhongxin"
135,2013,3,6,14,230,265,130,146,2799,14,14.5,1005.5,-3.3,0,"SSE",1.6,"Aotizhongxin"
136,2013,3,6,15,246,277,140,157,2899,10,14.7,1005.5,-3.2,0,"SSW",2.5,"Aotizhongxin"
137,2013,3,6,16,248,285,154,146,2799,17,14.2,1005.5,-3.2,0,"S",1.4,"Aotizhongxin"
138,2013,3,6,17,230,276,145,171,3200,17,11.6,1005.9,-3.4,0,"SSW",1.1,"Aotizhongxin"
139,2013,3,6,18,239,291,142,177,3500,17,6.8,1006.8,-2.9,0,"WSW",0.9,"Aotizhongxin"
140,2013,3,6,19,242,338,124,164,3700,17,5.1,1007.6,-2.5,0,"WSW",1.2,"Aotizhongxin"
141,2013,3,6,20,254,396,107,154,4200,17,4.4,1008.2,-2.5,0,"SSW",1.1,"Aotizhongxin"
142,2013,3,6,21,266,380,117,159,3799,17,3.8,1007.7,-2.2,0,"WSW",1.9,"Aotizhongxin"
143,2013,3,6,22,254,335,111,148,4099,17,2.4,1007.3,-2.5,0,"WSW",1.2,"Aotizhongxin"
144,2013,3,6,23,260,360,119,145,4000,17,2.3,1007.2,-2.4,0,"NNE",1.3,"Aotizhongxin"
145,2013,3,7,0,250,319,102,139,4000,17,1.5,1007.1,-2.6,0,"NNE",0.8,"Aotizhongxin"
146,2013,3,7,1,240,297,91,127,4000,17,0.7,1007.1,-2.7,0,"SE",1.2,"Aotizhongxin"
147,2013,3,7,2,238,294,83,133,4000,17,1.5,1006.9,-2.5,0,"NNE",0.6,"Aotizhongxin"
148,2013,3,7,3,243,293,86,121,4099,17,0.3,1006.5,-2.7,0,"WNW",1.7,"Aotizhongxin"
149,2013,3,7,4,246,304,57,113,5000,17,-0.9,1006.4,-3.3,0,"N",0.5,"Aotizhongxin"
150,2013,3,7,5,275,337,46,103,5599,17,1.6,1006.7,-1.5,0,"NNE",1.7,"Aotizhongxin"
151,2013,3,7,6,306,366,41,114,5700,17,0.3,1006.6,-2.7,0,"SW",0.4,"Aotizhongxin"
152,2013,3,7,7,320,374,46,124,4599,17,2.4,1006.8,-1.4,0,"NNE",1.5,"Aotizhongxin"
153,2013,3,7,8,292,344,78,106,3700,17,8.3,1006.5,-1,0,"NNE",0.8,"Aotizhongxin"
154,2013,3,7,9,251,282,182,116,3299,17,10.1,1006.1,-0.7,0,"W",0.6,"Aotizhongxin"
155,2013,3,7,10,228,255,166,135,3200,17,12.7,1005.5,-1.6,0,"ENE",1.2,"Aotizhongxin"
156,2013,3,7,11,217,255,169,171,4000,17,16.5,1003.6,-1.6,0,"WSW",1.7,"Aotizhongxin"
157,2013,3,7,12,255,311,154,201,4000,17,17.1,1001.6,-3.1,0,"SSW",3.7,"Aotizhongxin"
158,2013,3,7,13,258,283,111,226,3700,17,17.7,1000.2,-3.2,0,"SW",3.1,"Aotizhongxin"
159,2013,3,7,14,277,284,102,167,2899,39,18.3,998.6,-3.2,0,"SSW",3.6,"Aotizhongxin"
160,2013,3,7,15,282,326,79,130,2399,61,18.6,997.6,-1.8,0,"SSW",3.3,"Aotizhongxin"
161,2013,3,7,16,267,310,62,97,1899,80,17.9,997.2,-0.9,0,"SW",1.9,"Aotizhongxin"
162,2013,3,7,17,216,257,64,86,1600,84,15.4,997.1,-1.7,0,"NNW",1.4,"Aotizhongxin"
163,2013,3,7,18,201,255,76,125,1899,84,14.4,997.4,-2.5,0,"N",1.9,"Aotizhongxin"
164,2013,3,7,19,211,287,79,173,2399,10,13.4,997.9,-2.6,0,"NNE",1.5,"Aotizhongxin"
165,2013,3,7,20,227,298,99,207,3399,84,11.8,997.7,-2.1,0,"NE",1.5,"Aotizhongxin"
166,2013,3,7,21,282,377,114,213,4000,84,9.2,997.9,-1.3,0,"NNE",1.4,"Aotizhongxin"
